GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,MigrationsRPCService,18,141,1,1,2,26,2,8,1,8
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,MigrationsConfigCustomizer,8,0,0,0,3,0,2,0,2,0
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,MigrationDetailsSupplier,0,10,0,0,0,4,0,3,0,3
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,StaticClasspathResourceScanner,26,70,4,2,5,16,4,8,1,8
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,StaticJavaBasedMigrationDiscoverer,51,13,0,0,11,5,4,3,4,3
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,MigrationsDevConsoleRecorder,14,0,0,0,4,0,2,0,2,0
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,MigrationsRecorder,43,167,2,4,10,37,4,9,3,7
Neo4j Migrations (Quarkus),ac.simons.neo4j.migrations.quarkus.runtime,ResourceWrapper,3,67,4,6,1,15,4,8,0,7
