GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Markdown),ac.simons.neo4j.migrations.formats.markdown,MarkdownBasedMigration,0,33,0,0,0,6,0,4,0,4
Neo4j Migrations (Markdown),ac.simons.neo4j.migrations.formats.markdown,MarkdownBasedMigrationProvider,6,56,0,2,2,15,0,3,0,2
Neo4j Migrations (Markdown),ac.simons.neo4j.migrations.formats.markdown,MarkdownBasedMigrationProvider.MigrationsExtractor,0,20,0,0,0,6,0,2,0,2
