GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Examples (Spring Boot Integration),ac.simons.neo4j.migrations.examples.sb,Person,0,12,0,0,0,5,0,3,0,3
Examples (Spring Boot Integration),ac.simons.neo4j.migrations.examples.sb,Application,0,8,0,0,0,3,0,2,0,2
Examples (Spring Boot Integration),ac.simons.neo4j.migrations.examples.sb,V040__AFreshSpringMigration,9,6,0,0,2,3,1,1,1,1
