GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Spring Boot Autoconfiguration),ac.simons.neo4j.migrations.springframework.boot.autoconfigure,MigrationsInitializer,0,21,0,0,0,9,0,3,0,3
Neo4j Migrations (Spring Boot Autoconfiguration),ac.simons.neo4j.migrations.springframework.boot.autoconfigure,MigrationsAutoConfiguration,0,89,1,9,0,25,1,10,0,6
Neo4j Migrations (Spring Boot Autoconfiguration),ac.simons.neo4j.migrations.springframework.boot.autoconfigure,MigrationsProperties,10,107,0,0,4,41,3,22,3,22
